Wall time,Step,Value
1557503444.4233265,439,1146603648.0
1557503447.742314,441,1095541248.0
1557503451.068516,443,811362560.0
1557503454.4052656,445,1004236544.0
1557503457.7383385,447,1177303936.0
1557503461.0714214,449,881293568.0
1557503464.4009395,451,670571008.0
1557503467.7816455,453,1008571904.0
1557503471.1268277,455,1055261568.0
1557503474.4549236,457,947598464.0
1557503477.790235,459,744151872.0
1557503481.1420257,461,1321659264.0
1557503484.463044,463,1192436224.0
1557503487.7877243,465,879053184.0
1557503491.0838754,467,1066292416.0
1557503494.4323747,469,1053268864.0
1557503497.754491,471,750426432.0
1557503501.093853,473,821922368.0
1557503504.4097779,475,600979712.0
1557503507.7352774,477,635494592.0
1557503511.0417895,479,711530496.0
1557503514.3827353,481,739153856.0
1557503517.710737,483,817308480.0
1557503521.054001,485,660873728.0
1557503524.3775609,487,637211456.0
1557503527.7032773,489,797437568.0
1557503531.0738192,491,718084032.0
1557503534.406339,493,678677888.0
1557503537.7309074,495,591371328.0
1557503541.071944,497,708875328.0
1557503544.4003532,499,720421952.0
1557503546.6276665,500,726958848.0
1557503549.9606106,502,1148058752.0
1557503553.2891178,504,1092274304.0
1557503556.6210926,506,1207659264.0
1557503559.9769154,508,930189376.0
1557503563.329868,510,817958016.0
1557503566.6854305,512,911973632.0
1557503570.0216599,514,1223667968.0
1557503573.3554444,516,1404451072.0
1557503576.6894786,518,1757738880.0
1557503580.0161507,520,1963045248.0
1557503583.3481207,522,1171845760.0
1557503586.6791353,524,773958208.0
1557503590.0162778,526,599466112.0
1557503593.343895,528,856384768.0
1557503596.6667852,530,714826240.0
1557503600.0070639,532,635475264.0
1557503603.3316398,534,914218944.0
1557503606.6681843,536,1511401856.0
1557503610.0077808,538,1850409728.0
1557503613.3342535,540,1494468480.0
1557503616.665438,542,1228437888.0
1557503620.0085127,544,773871296.0
1557503623.3314238,546,1075864576.0
1557503626.6531296,548,687546560.0
1557503629.9712586,550,767601280.0
1557503633.3087556,552,902046848.0
1557503636.6193955,554,637023488.0
1557503639.955905,556,517754464.0
1557503643.2975507,558,628179776.0
1557503646.6190267,560,701444096.0
1557503649.9809163,562,749067968.0
1557503653.2898817,564,633480768.0
1557503656.6092503,566,592292672.0
1557503659.928382,568,426950080.0
1557503663.2838619,570,548516160.0
1557503666.6145122,572,619737664.0
1557503669.9446397,574,680677952.0
1557503673.2857182,576,637291584.0
1557503676.660438,578,701195648.0
1557503680.0393374,580,862855808.0
1557503683.374439,582,547788160.0
1557503686.788386,584,586002304.0
1557503690.117762,586,614605568.0
1557503693.4400506,588,671896256.0
1557503696.7488728,590,893974464.0
1557503700.0726159,592,987489088.0
1557503703.3949432,594,1039628032.0
1557503706.7287126,596,1183010304.0
1557503710.0492136,598,1326184064.0
1557503713.4042556,600,1122247168.0
1557503716.7252994,602,621799104.0
1557503720.0100868,604,618805248.0
1557503723.3501787,606,676282816.0
1557503726.670282,608,607870272.0
1557503729.9927905,610,518777472.0
1557503733.2991302,612,539726656.0
1557503736.633541,614,444828064.0
1557503739.9772596,616,465106624.0
1557503743.2991421,618,437047776.0
1557503746.600952,620,984483904.0
1557503749.9464202,622,846217280.0
1557503753.2897544,624,885742528.0
1557503755.481982,625,505301728.0
1557503758.81281,627,690015296.0
1557503762.1297874,629,650270464.0
1557503765.4615688,631,1714368000.0
1557503768.7879884,633,2067089280.0
1557503772.1273975,635,1671637376.0
1557503775.4560711,637,1250149504.0
1557503778.7853348,639,959011904.0
1557503782.1259391,641,540223104.0
1557503785.4280457,643,579478016.0
1557503788.737601,645,485062624.0
1557503792.0740325,647,481498816.0
1557503795.3894908,649,558593856.0
1557503798.7304573,651,502274048.0
1557503802.074913,653,575241408.0
1557503805.384354,655,349308896.0
1557503808.7068694,657,517842688.0
1557503812.0167127,659,564235712.0
1557503815.3287244,661,492198752.0
1557503818.6433592,663,507759168.0
1557503821.9557505,665,467250464.0
1557503825.2725449,667,555690944.0
1557503828.607922,669,545259904.0
1557503831.9569538,671,730538368.0
1557503835.2667246,673,544437504.0
1557503838.582612,675,818489664.0
1557503841.9059038,677,573579648.0
1557503845.2336345,679,552434880.0
1557503848.5429125,681,440594400.0
1557503851.8491397,683,624567872.0
1557503855.1726995,685,1092987264.0
1557503858.5302231,687,859366208.0
1557503861.8644881,689,685380672.0
1557503865.2067833,691,649256256.0
1557503868.5544918,693,573698560.0
1557503871.905907,695,768561664.0
1557503875.2480156,697,544642816.0
1557503878.5887902,699,539283136.0
1557503881.916779,701,921167488.0
1557503885.2912273,703,917271936.0
1557503888.646373,705,1112128640.0
1557503891.9803832,707,1075275264.0
1557503895.3109086,709,1404898560.0
1557503898.6340673,711,1760794240.0
1557503901.9858449,713,1128873856.0
1557503905.329382,715,520549056.0
1557503908.6612113,717,544597632.0
1557503911.976789,719,579242944.0
1557503915.2771735,721,683306624.0
1557503918.62258,723,1282372992.0
1557503921.9679823,725,1007259456.0
1557503925.2728724,727,882171648.0
1557503928.5985882,729,752567232.0
1557503931.9172719,731,785778624.0
1557503935.252015,733,679908608.0
1557503938.5962703,735,527780256.0
1557503941.9133413,737,610073600.0
1557503945.256079,739,555602048.0
1557503948.6034853,741,540833152.0
1557503951.964059,743,479710400.0
1557503955.2788873,745,358663360.0
1557503958.5954502,747,684854848.0
1557503961.9571152,749,676780800.0
1557503964.2012682,750,888779968.0
1557503967.5480237,752,881579968.0
1557503970.8705244,754,653922944.0
1557503974.222879,756,802163776.0
1557503977.5580852,758,858377344.0
1557503980.8938231,760,405333728.0
1557503984.2151387,762,474389888.0
1557503987.5251062,764,508361088.0
1557503990.8469496,766,641023616.0
1557503994.2079396,768,1016756032.0
1557503997.5541294,770,1153937024.0
1557504000.8837087,772,1009196544.0
1557504004.2334182,774,710343296.0
1557504007.601196,776,588930688.0
1557504010.941136,778,441610080.0
1557504014.2796774,780,316969760.0
1557504017.6172569,782,500521600.0
1557504020.9577723,784,498433632.0
1557504024.2963786,786,782390976.0
1557504027.6332874,788,656068352.0
1557504030.977407,790,576594624.0
1557504034.3191805,792,409312640.0
1557504037.6555216,794,293624960.0
1557504040.9945533,796,409542336.0
1557504044.3317568,798,331344864.0
1557504047.6441488,800,459711968.0
1557504050.96221,802,386460192.0
1557504054.268426,804,371420544.0
1557504057.6142886,806,336396992.0
1557504060.9301438,808,333718112.0
1557504064.2710736,810,424176768.0
1557504067.6362696,812,396525760.0
1557504070.9757922,814,379380832.0
1557504074.3102474,816,567544640.0
1557504077.6198897,818,443720096.0
1557504080.961562,820,528775328.0
1557504084.3155966,822,440734560.0
1557504087.6461465,824,517295296.0
1557504090.9631584,826,447874688.0
1557504094.3161824,828,630544192.0
1557504097.6723974,830,513195904.0
1557504101.0059118,832,471487968.0
1557504104.345381,834,409356480.0
1557504107.701061,836,593923008.0
1557504111.0130777,838,320377760.0
1557504114.3382359,840,456746976.0
1557504117.6982648,842,554694720.0
1557504121.0248272,844,652962048.0
1557504124.3731425,846,864024512.0
1557504127.7298918,848,844120896.0
1557504131.0483038,850,662554240.0
1557504134.3538525,852,515039360.0
1557504137.6740859,854,461012352.0
1557504141.0274518,856,633789632.0
1557504144.3842673,858,801273536.0
1557504147.7096057,860,1082979456.0
1557504151.0496554,862,583396288.0
1557504154.3911157,864,840943808.0
1557504157.7439704,866,631544320.0
1557504161.048657,868,368696288.0
1557504164.3612502,870,424521600.0
1557504167.748162,872,461353984.0
1557504171.0888464,874,521069888.0
1557504173.3009782,875,648073984.0
1557504176.6246552,877,650203904.0
1557504179.9342492,879,692209280.0
1557504183.2431574,881,453569824.0
1557504186.578128,883,367674208.0
1557504189.9264238,885,373533152.0
1557504193.240745,887,433984320.0
1557504196.5659394,889,579948928.0
1557504199.8992074,891,738911040.0
1557504203.2206452,893,580559296.0
1557504206.542068,895,476785056.0
1557504209.8435748,897,317393376.0
1557504213.1929514,899,448939488.0
1557504216.5228217,901,573790592.0
1557504219.8354566,903,641136576.0
1557504223.1536303,905,835270400.0
1557504226.4924812,907,1045896320.0
1557504229.8143158,909,1198299392.0
1557504233.1470115,911,476817376.0
1557504236.4891572,913,451103296.0
1557504239.8074918,915,1368600320.0
1557504243.1424387,917,1716776192.0
1557504246.4649153,919,703302208.0
1557504249.8211467,921,710563776.0
1557504253.153149,923,1509904384.0
1557504256.4651034,925,1670640256.0
1557504259.7587945,927,786953280.0
1557504263.071983,929,413364224.0
1557504266.3937013,931,934201600.0
1557504269.7150602,933,939441984.0
1557504273.055642,935,749315840.0
1557504276.4000216,937,424153920.0
1557504279.7456625,939,374369472.0
1557504283.0918255,941,483209248.0
1557504286.4819305,943,343886848.0
1557504289.8464773,945,352822880.0
1557504293.2126002,947,276836544.0
1557504296.561609,949,290931968.0
1557504299.9040098,951,232752224.0
1557504303.2811482,953,421326528.0
1557504306.6399014,955,294168672.0
1557504309.98661,957,286086144.0
1557504313.3252158,959,506881184.0
1557504316.6524236,961,770851072.0
1557504320.0004733,963,724482048.0
1557504323.3299444,965,684625600.0
1557504326.701313,967,407184832.0
1557504330.0301437,969,356004224.0
1557504333.3584902,971,353699456.0
1557504336.693202,973,558036672.0
1557504340.023988,975,736138624.0
1557504343.3403742,977,808400064.0
1557504346.6516645,979,697855616.0
1557504349.9722497,981,497932896.0
1557504353.30593,983,387096448.0
1557504356.651536,985,424656768.0
1557504359.957884,987,514921280.0
1557504363.3104582,989,481641856.0
1557504366.6482856,991,631991808.0
1557504369.9680398,993,511303968.0
1557504373.2997134,995,290794368.0
1557504376.6434739,997,301916800.0
1557504379.992143,999,434933568.0
1557504382.192973,1000,342885856.0
1557504385.5047114,1002,373016000.0
1557504388.8212566,1004,245185680.0
1557504392.1331997,1006,370972416.0
1557504395.4492807,1008,379264608.0
1557504398.7904425,1010,256018928.0
1557504402.1084216,1012,349199776.0
1557504405.4266937,1014,424155104.0
1557504408.7657144,1016,477705248.0
1557504412.1165657,1018,453097216.0
1557504415.4433181,1020,282293056.0
1557504418.772367,1022,352232544.0
1557504422.097953,1024,472225632.0
1557504425.4353728,1026,509998784.0
1557504428.7629757,1028,550391424.0
1557504432.1003082,1030,634706048.0
1557504435.4262726,1032,392580736.0
1557504438.745493,1034,274431584.0
1557504442.0742817,1036,690479744.0
1557504445.3906374,1038,1136817664.0
1557504448.7349424,1040,1167671552.0
1557504452.0740356,1042,736019328.0
1557504455.3987195,1044,336007840.0
1557504458.7452874,1046,1431586048.0
1557504462.0894144,1048,1697368960.0
1557504465.4520943,1050,560554752.0
1557504468.7754374,1052,1001183872.0
1557504472.1085582,1054,996227840.0
1557504475.4544435,1056,514980160.0
1557504478.8024805,1058,322911552.0
1557504482.1482186,1060,493709152.0
1557504485.5296395,1062,390337920.0
1557504488.8629968,1064,306522976.0
1557504492.1803277,1066,391791712.0
